Gene name canonical,Global classifier2
GLRX3,Mostly Cytosolic
GMDS,Mostly Cytosolic
GNB1L,Mostly Cytosolic
GNE,Mostly Cytosolic
GNPDA1,Mostly Cytosolic
GSE1,Mostly Cytosolic
GSS,Mostly Cytosolic
H1-10,Mostly Nuclear
H2AZ1,Mostly Nuclear
HECTD1,Mostly Cytosolic
HMGN2,Mostly Nuclear
HSPA2,Mostly Cytosolic
IDH1,Mostly Cytosolic
IFI16,Mostly Nuclear
IFIT1,Mostly Cytosolic
IMP3,Mostly Nuclear
KCMF1,Mostly Cytosolic
PUM3,Mostly Nuclear
KIAA1217,Mostly Cytosolic
SHTN1,Mostly Cytosolic
LDHB,Mostly Cytosolic
MAEA,Mostly Cytosolic
MED30,Mostly Nuclear
MRI1,Mostly Cytosolic
MTAP,Mostly Cytosolic
MYO9B,Mostly Cytosolic
NDRG1,Mostly Cytosolic
NGDN,Mostly Nuclear
NMNAT1,Mostly Nuclear
NOL12,Mostly Nuclear
PAFAH1B3,Mostly Cytosolic
PBK,Mostly Cytosolic
PCYT1A,Mostly Cytosolic
PDCD6,Mostly Cytosolic
PDCD6IP,Mostly Cytosolic
PDS5B,Mostly Nuclear
PEBP1,Mostly Cytosolic
PGLS,Mostly Cytosolic
PI4KB,Mostly Cytosolic
PIR,Mostly Cytosolic
POLE3,Mostly Cytosolic
PRKD2,Mostly Cytosolic
PSMD10,Mostly Cytosolic
RAD1,Mostly Cytosolic
RAD51AP1,Mostly Nuclear
RBMXL1,Mostly Nuclear
RPS19BP1,Mostly Nuclear
SERPINB1,Mostly Cytosolic
SERPINB6,Mostly Cytosolic
SET,Mostly Cytosolic
SFSWAP,Mostly Nuclear
SGTA,Mostly Cytosolic
SH3GL1,Mostly Cytosolic
SMARCE1,Mostly Nuclear
SMC5,Mostly Nuclear
SRI,Mostly Cytosolic
STAMBPL1,Mostly Cytosolic
SUGT1,Mostly Cytosolic
TAB1,Mostly Cytosolic
TAF6,Mostly Nuclear
TBL3,Mostly Nuclear
TEX10,Mostly Nuclear
THOC7,Mostly Nuclear
TRIP12,Mostly Nuclear
TRIP6,Mostly Cytosolic
TRMT10A,Mostly Cytosolic
UAP1,Mostly Cytosolic
UBA1,Mostly Cytosolic
UBXN1,Mostly Cytosolic
UCK2,Mostly Cytosolic
UROD,Mostly Cytosolic
USP24,Mostly Cytosolic
UTP14A,Mostly Nuclear
UTP6,Mostly Nuclear
WDR36,Mostly Nuclear
WDR44,Mostly Cytosolic
WRN,Mostly Nuclear
XPO7,Mostly Cytosolic
XPOT,Mostly Cytosolic
ZC3H13,Mostly Nuclear
AACS,Mostly Cytosolic
ABHD14B,Mostly Cytosolic
ACIN1,Mostly Nuclear
ACOT7,Mostly Cytosolic
ADH5,Mostly Cytosolic
ADK,Mostly Cytosolic
AFF4,Mostly Nuclear
AHCTF1,Mostly Nuclear
AHCY,Mostly Cytosolic
AK6,Mostly Cytosolic
ALDH1A3,Mostly Cytosolic
ANKRD52,Mostly Cytosolic
ANXA1,Mostly Cytosolic
ANXA3,Mostly Cytosolic
ANXA5,Mostly Cytosolic
APOBEC3B,Mostly Nuclear
APRT,Mostly Cytosolic
ARHGDIA,Mostly Cytosolic
ARMT1,Mostly Cytosolic
ATOX1,Mostly Cytosolic
BLVRB,Mostly Cytosolic
BOLA2,Mostly Cytosolic
BOP1,Mostly Nuclear
CZIB,Mostly Cytosolic
CARHSP1,Mostly Cytosolic
CBX8,Mostly Nuclear
CCDC86,Mostly Nuclear
CDKN2A,Mostly Cytosolic
CHD4,Mostly Nuclear
CKB,Mostly Cytosolic
CMAS,Mostly Nuclear
CMBL,Mostly Cytosolic
CNDP2,Mostly Cytosolic
CPNE1,Mostly Cytosolic
CRYZL1,Mostly Cytosolic
DBI,Mostly Cytosolic
DCAF8,Mostly Cytosolic
DCTPP1,Mostly Cytosolic
DDT,Mostly Cytosolic
DEK,Mostly Nuclear
DHFR,Mostly Cytosolic
DNAJC6,Mostly Cytosolic
DPP3,Mostly Cytosolic
DVL2,Mostly Cytosolic
EIF1AD,Mostly Cytosolic
EIF4EBP1,Mostly Cytosolic
ESCO2,Mostly Nuclear
ESD,Mostly Cytosolic
ESF1,Mostly Nuclear
TASOR,Mostly Nuclear
FBXL6,Mostly Nuclear
G6PD,Mostly Cytosolic
GATAD2B,Mostly Nuclear
GBE1,Mostly Cytosolic
GDA,Mostly Cytosolic
GGCT,Mostly Cytosolic
GLO1,Mostly Cytosolic
GLOD4,Mostly Cytosolic
GLRX,Mostly Cytosolic
GLYR1,Mostly Nuclear
GMPPA,Mostly Cytosolic
GMPR2,Mostly Cytosolic
GOT1,Mostly Cytosolic
GSTM3,Mostly Cytosolic
GSTO1,Mostly Cytosolic
HDAC1,Mostly Nuclear
HECTD3,Mostly Cytosolic
HINT1,Mostly Cytosolic
H2AC18,Mostly Nuclear
HMBS,Mostly Cytosolic
HMGA1,Mostly Nuclear
JPT1,Mostly Cytosolic
HPRT1,Mostly Cytosolic
IFT25,Mostly Cytosolic
IFIT3,Mostly Cytosolic
IL18,Mostly Cytosolic
IMUP,Mostly Cytosolic
VIRMA,Mostly Nuclear
KLHL7,Mostly Nuclear
KNTC1,Mostly Cytosolic
KYNU,Mostly Cytosolic
LTA4H,Mostly Cytosolic
MAP2K2,Mostly Cytosolic
MAP3K7,Mostly Cytosolic
MAPK14,Mostly Cytosolic
MAT2A,Mostly Cytosolic
MAT2B,Mostly Cytosolic
MTA2,Mostly Nuclear
MTPN,Mostly Cytosolic
MYBBP1A,Mostly Nuclear
NAE1,Mostly Cytosolic
NANS,Mostly Cytosolic
NAPRT,Mostly Cytosolic
NBN,Mostly Nuclear
NCDN,Mostly Cytosolic
NCOA5,Mostly Nuclear
NDRG3,Mostly Cytosolic
NEDD4,Mostly Cytosolic
NOC3L,Mostly Nuclear
NOL6,Mostly Nuclear
NOP10,Mostly Nuclear
NOP56,Mostly Nuclear
NQO2,Mostly Cytosolic
NSA2,Mostly Nuclear
NUBP1,Mostly Cytosolic
NUDT5,Mostly Cytosolic
NUTF2,Mostly Cytosolic
OGFR,Mostly Cytosolic
OTUB1,Mostly Cytosolic
PDXK,Mostly Cytosolic
PFAS,Mostly Cytosolic
PFDN4,Mostly Cytosolic
PGAM1,Mostly Cytosolic
PGM1,Mostly Cytosolic
PGM2,Mostly Cytosolic
PGM3,Mostly Cytosolic
PGP,Mostly Cytosolic
PHAX,Mostly Cytosolic
PHF3,Mostly Nuclear
PHPT1,Mostly Cytosolic
PLA2G4A,Mostly Cytosolic
PLAA,Mostly Cytosolic
PLEKHG4,Mostly Cytosolic
PLIN2,Mostly Cytosolic
PLIN3,Mostly Cytosolic
PNP,Mostly Cytosolic
PPA1,Mostly Cytosolic
PPM1G,Mostly Cytosolic
PPME1,Mostly Cytosolic
PPP1R2,Mostly Cytosolic
PPP1R7,Mostly Cytosolic
PRDX6,Mostly Cytosolic
PREP,Mostly Cytosolic
PSAT1,Mostly Cytosolic
PSIP1,Mostly Nuclear
PSPH,Mostly Cytosolic
PWP2,Mostly Nuclear
PYCR3,Mostly Cytosolic
RABGGTB,Mostly Cytosolic
RBM5,Mostly Nuclear
RCC1,Mostly Nuclear
RELA,Mostly Cytosolic
RIF1,Mostly Nuclear
RIOK1,Mostly Cytosolic
RIOK2,Mostly Cytosolic
RNPEP,Mostly Cytosolic
RPUSD2,Mostly Cytosolic
RSL1D1,Mostly Nuclear
RTF1,Mostly Cytosolic
RUNX1,Mostly Nuclear
S100A11,Mostly Cytosolic
S100A4,Mostly Cytosolic
S100A6,Mostly Cytosolic
SELENBP1,Mostly Cytosolic
SENP3,Mostly Nuclear
SMAP,Mostly Cytosolic
SMARCA4,Mostly Nuclear
SMARCA5,Mostly Nuclear
SMS,Mostly Cytosolic
SOD1,Mostly Cytosolic
SRM,Mostly Cytosolic
SSB,Mostly Cytosolic
STMN1,Mostly Cytosolic
STMN2,Mostly Cytosolic
SULT1A4,Mostly Cytosolic
TBCA,Mostly Cytosolic
TBCB,Mostly Cytosolic
TCF3,Mostly Cytosolic
TFAP2A,Mostly Nuclear
THOC1,Mostly Nuclear
THOP1,Mostly Cytosolic
THUMPD3,Mostly Cytosolic
TIPRL,Mostly Cytosolic
TLK1,Mostly Nuclear
TMSB10,Mostly Cytosolic
TMSB4X,Mostly Cytosolic
TPI1,Mostly Cytosolic
TPRKB,Mostly Cytosolic
TRIM16,Mostly Cytosolic
TTC27,Mostly Cytosolic
TXNDC17,Mostly Cytosolic
TYMP,Mostly Cytosolic
UBA6,Mostly Cytosolic
UBE2C,Mostly Cytosolic
UBE2K,Mostly Cytosolic
UBE2Q1,Mostly Cytosolic
UBXN7,Mostly Cytosolic
UCHL3,Mostly Cytosolic
UHRF1,Mostly Nuclear
UNC119B,Mostly Cytosolic
URB2,Mostly Nuclear
USP47,Mostly Cytosolic
USP5,Mostly Cytosolic
UTP15,Mostly Nuclear
DCAF1,Mostly Cytosolic
VPS4A,Mostly Cytosolic
VTA1,Mostly Cytosolic
WDR43,Mostly Nuclear
XPNPEP1,Mostly Cytosolic
ZMYM4,Mostly Nuclear
NUP35,Mostly Nuclear
NUP54,Mostly Nuclear
NUP58,Mostly Nuclear
TMPO,Mostly Nuclear
LEMD3,Mostly Nuclear
SMPD4,Mostly Nuclear
SUN2,Mostly Nuclear
TOR1AIP1,Mostly Nuclear
SUN1,Mostly Nuclear
TMEM209,Mostly Nuclear
ANXA8L1,Mostly Cytosolic
ATAD2,Mostly Nuclear
BDH2,Mostly Cytosolic
CEBPZ,Mostly Nuclear
CHAF1A,Mostly Nuclear
COMMD9,Mostly Cytosolic
DDX21,Mostly Nuclear
DFFA,Mostly Cytosolic
DNTTIP2,Mostly Nuclear
DPH5,Mostly Cytosolic
PSME3IP1,Mostly Cytosolic
FBL,Mostly Nuclear
GSN,Mostly Cytosolic
HMGCS1,Mostly Cytosolic
HMGN1,Mostly Nuclear
HP1BP3,Mostly Nuclear
LMNB2,Mostly Nuclear
MDC1,Mostly Nuclear
MKI67,Mostly Nuclear
NASP,Mostly Cytosolic
NOC2L,Mostly Nuclear
NOL10,Mostly Nuclear
NOL8,Mostly Nuclear
NOP58,Mostly Nuclear
NT5DC1,Mostly Cytosolic
NUMA1,Mostly Nuclear
NUP153,Mostly Nuclear
OSBP,Mostly Cytosolic
PDCD11,Mostly Nuclear
PHF14,Mostly Nuclear
PSMG2,Mostly Cytosolic
PTMA,Mostly Cytosolic
PTMS,Mostly Cytosolic
RANBP3,Mostly Cytosolic
RRP9,Mostly Nuclear
SAE1,Mostly Cytosolic
SMARCB1,Mostly Nuclear
SMARCC1,Mostly Nuclear
SMARCC2,Mostly Nuclear
SMARCD1,Mostly Nuclear
SNCG,Mostly Cytosolic
SS18,Mostly Nuclear
STAMBP,Mostly Cytosolic
TALDO1,Mostly Cytosolic
TOP2B,Mostly Nuclear
TPM1,Mostly Cytosolic
GFUS,Mostly Cytosolic
UBA2,Mostly Cytosolic
UBE3A,Mostly Cytosolic
YY1,Mostly Nuclear
ZC3H14,Mostly Nuclear
ZYG11B,Mostly Cytosolic
AAGAB,Mostly Cytosolic
AAMDC,Mostly Cytosolic
AAR2,Mostly Cytosolic
AASDH,Mostly Cytosolic
AATF,Mostly Nuclear
AATK,Mostly Cytosolic
ABHD15,Mostly Cytosolic
ABT1,Mostly Nuclear
ABTB2,Mostly Cytosolic
ACBD6,Mostly Cytosolic
ACIN1,Mostly Nuclear
ACOT11,Mostly Cytosolic
ACP1,Mostly Cytosolic
ACSS2,Mostly Cytosolic
ACY1,Mostly Cytosolic
ADA,Mostly Cytosolic
ADAL,Mostly Cytosolic
ADAR,Mostly Nuclear
ADAT1,Mostly Cytosolic
ADAT2,Mostly Cytosolic
ADAT3,Mostly Cytosolic
ADCK2,Mostly Cytosolic
ADI1,Mostly Cytosolic
ADIRF,Mostly Cytosolic
ADNP,Mostly Nuclear
ADNP2,Mostly Nuclear
ADO,Mostly Cytosolic
AEN,Mostly Nuclear
TLE5,Mostly Cytosolic
AFF1,Mostly Nuclear
AFMID,Mostly Cytosolic
AGGF1,Mostly Cytosolic
AHCYL2,Mostly Cytosolic
AHDC1,Mostly Nuclear
AHR,Mostly Cytosolic
AJUBA,Mostly Cytosolic
AKAP10,Mostly Cytosolic
AKIRIN2,Mostly Cytosolic
AKR1B15,Mostly Cytosolic
AKT1,Mostly Cytosolic
AKT1S1,Mostly Cytosolic
AKT2,Mostly Cytosolic
AKTIP,Mostly Cytosolic
ALAD,Mostly Cytosolic
ALDH3A1,Mostly Cytosolic
ALKBH4,Mostly Cytosolic
ALKBH8,Mostly Cytosolic
ALMS1,Mostly Cytosolic
AMBRA1,Mostly Cytosolic
AMD1,Mostly Cytosolic
AMDHD2,Mostly Cytosolic
ANKIB1,Mostly Cytosolic
ANKRD10,Mostly Cytosolic
ANKRD11,Mostly Nuclear
ANKRD13A,Mostly Cytosolic
ANKRD16,Mostly Cytosolic
ANKRD2,Mostly Cytosolic
SLF1,Mostly Nuclear
ANKRD39,Mostly Cytosolic
ANKRD40,Mostly Cytosolic
ANKRD44,Mostly Cytosolic
ANKRD49,Mostly Cytosolic
ANKRD54,Mostly Cytosolic
ANKS1A,Mostly Cytosolic
ANP32E,Mostly Cytosolic
AP3D1,Mostly Cytosolic
AP4B1,Mostly Cytosolic
AP4M1,Mostly Cytosolic
AP5M1,Mostly Cytosolic
AP5S1,Mostly Cytosolic
APAF1,Mostly Cytosolic
API5,Mostly Nuclear
APIP,Mostly Cytosolic
APPBP2,Mostly Cytosolic
APPL2,Mostly Cytosolic
ARAF,Mostly Cytosolic
ARF3,Mostly Cytosolic
ARHGAP11A,Mostly Nuclear
ARHGAP27,Mostly Cytosolic
ARHGAP4,Mostly Cytosolic
ARHGDIB,Mostly Cytosolic
ARHGEF10,Mostly Cytosolic
ARHGEF28,Mostly Cytosolic
ARHGEF35,Mostly Cytosolic
ARID1A,Mostly Nuclear
ARID1B,Mostly Nuclear
ARID4A,Mostly Nuclear
ARID4B,Mostly Nuclear
ARID5B,Mostly Nuclear
ARIH2,Mostly Cytosolic
ARL2BP,Mostly Cytosolic
ARL6,Mostly Cytosolic
ARL6IP6,Mostly Nuclear
ARMC6,Mostly Cytosolic
BMAL1,Mostly Nuclear
ARR3,Mostly Cytosolic
ASAP3,Mostly Cytosolic
ASB1,Mostly Cytosolic
ASB13,Mostly Cytosolic
ASB6,Mostly Cytosolic
ASB7,Mostly Nuclear
ASB9,Mostly Cytosolic
ASF1B,Mostly Cytosolic
ASH1L,Mostly Nuclear
ASL,Mostly Cytosolic
ASMTL,Mostly Cytosolic
ASNSD1,Mostly Cytosolic
ASPSCR1,Mostly Cytosolic
ASRGL1,Mostly Cytosolic
ASXL2,Mostly Nuclear
ATAD2B,Mostly Nuclear
ATAD5,Mostly Nuclear
ATE1,Mostly Cytosolic
ATE1,Mostly Cytosolic
ATF1,Mostly Nuclear
ATF2,Mostly Nuclear
ATF3,Mostly Nuclear
ATF4,Mostly Nuclear
ATF7,Mostly Nuclear
ATG101,Mostly Cytosolic
ATG12,Mostly Cytosolic
ATG13,Mostly Cytosolic
ATG2B,Mostly Cytosolic
ATG4A,Mostly Cytosolic
ATG4B,Mostly Cytosolic
ATG4C,Mostly Cytosolic
ATG5,Mostly Cytosolic
ATG7,Mostly Cytosolic
ATRX,Mostly Nuclear
ATRX,Mostly Nuclear
ATRX,Mostly Nuclear
ATXN1,Mostly Nuclear
ATXN3,Mostly Cytosolic
ATXN7,Mostly Nuclear
ATXN7L3,Mostly Nuclear
ATXN7L3B,Mostly Cytosolic
AZI2,Mostly Cytosolic
AZIN1,Mostly Cytosolic
BABAM1,Mostly Cytosolic
BAG4,Mostly Cytosolic
BAHD1,Mostly Nuclear
BANP,Mostly Nuclear
BAP1,Mostly Nuclear
BAP18,Mostly Nuclear
BAP18,Mostly Nuclear
BARD1,Mostly Nuclear
BARX1,Mostly Nuclear
BAZ1A,Mostly Nuclear
BAZ2A,Mostly Nuclear
BAZ2B,Mostly Nuclear
BBX,Mostly Nuclear
BCCIP,Mostly Cytosolic
BCDIN3D,Mostly Cytosolic
BCL10,Mostly Cytosolic
BCL3,Mostly Cytosolic
BCL6,Mostly Nuclear
BCL7A,Mostly Nuclear
BCL7A,Mostly Nuclear
BCL7B,Mostly Nuclear
BCL7C,Mostly Nuclear
BCL9,Mostly Cytosolic
BCOR,Mostly Nuclear
BCORL1,Mostly Nuclear
BDP1,Mostly Nuclear
BEGAIN,Mostly Cytosolic
BEND3,Mostly Nuclear
BHLHE40,Mostly Nuclear
BIN3,Mostly Cytosolic
BIRC2,Mostly Cytosolic
BLOC1S6,Mostly Cytosolic
BMI1,Mostly Nuclear
BNC2,Mostly Nuclear
BNIP2,Mostly Cytosolic
BOD1,Mostly Cytosolic
BOD1L1,Mostly Nuclear
BOLA1,Mostly Cytosolic
RTL10,Mostly Cytosolic
BORA,Mostly Cytosolic
BPGM,Mostly Cytosolic
BRAF,Mostly Cytosolic
BRAT1,Mostly Cytosolic
BRCA1,Mostly Nuclear
BRD1,Mostly Nuclear
BRD1,Mostly Nuclear
BRD2,Mostly Nuclear
BRD3,Mostly Nuclear
BRD4,Mostly Nuclear
BRD7,Mostly Nuclear
BRD7,Mostly Nuclear
BRD8,Mostly Nuclear
BRD9,Mostly Nuclear
BRF2,Mostly Nuclear
BRMS1,Mostly Nuclear
BRMS1L,Mostly Nuclear
BRPF1,Mostly Nuclear
BRPF3,Mostly Nuclear
BRWD1,Mostly Nuclear
BRWD3,Mostly Nuclear
BTBD10,Mostly Cytosolic
LCOR,Mostly Nuclear
PAAT,Mostly Cytosolic
CSTPP1,Mostly Cytosolic
C11orf54,Mostly Cytosolic
NKAPD1,Mostly Nuclear
C11orf68,Mostly Cytosolic
HIKESHI,Mostly Cytosolic
SPINDOC,Mostly Nuclear
NOPCHAP1,Mostly Cytosolic
C14orf119,Mostly Cytosolic
GON7,Mostly Cytosolic
C14orf93,Mostly Nuclear
C15orf39,Mostly Cytosolic
CCDC32,Mostly Cytosolic
METTL26,Mostly Cytosolic
PHAF1,Mostly Cytosolic
HAPSTR1,Mostly Cytosolic
EPOP,Mostly Nuclear
C18orf21,Mostly Nuclear
C19orf12,Mostly Cytosolic
C19orf47,Mostly Nuclear
ACTMAP,Mostly Cytosolic
FIRRM,Mostly Cytosolic
C1orf131,Mostly Nuclear
C1orf174,Mostly Nuclear
C1orf50,Mostly Cytosolic
C1orf52,Mostly Cytosolic
WDCP,Mostly Cytosolic
C2orf49,Mostly Nuclear
C2orf69,Mostly Cytosolic
C2orf76,Mostly Cytosolic
C3orf38,Mostly Cytosolic
C5orf22,Mostly Cytosolic
C5orf24,Mostly Nuclear
C5orf34,Mostly Cytosolic
RIMOC1,Mostly Cytosolic
ILRUN,Mostly Cytosolic
C7orf25,Mostly Cytosolic
INTS15,Mostly Nuclear
CFAP418,Mostly Cytosolic
C8orf76,Mostly Cytosolic
SPOUT1,Mostly Nuclear
PAXX,Mostly Cytosolic
TRMO,Mostly Cytosolic
BBLN,Mostly Cytosolic
C9orf40,Mostly Cytosolic
CARNMT1,Mostly Cytosolic
QNG1,Mostly Cytosolic
CABIN1,Mostly Nuclear
CACUL1,Mostly Cytosolic
CALCOCO1,Mostly Cytosolic
CALD1,Mostly Nuclear
CAMK1D,Mostly Cytosolic
CAMKK1,Mostly Cytosolic
CAMKK2,Mostly Cytosolic
CAMKMT,Mostly Cytosolic
CAPN1,Mostly Cytosolic
CARD14,Mostly Cytosolic
CARS1,Mostly Cytosolic
CASP1,Mostly Cytosolic
CASP10,Mostly Cytosolic
CASP2,Mostly Cytosolic
CASP3,Mostly Cytosolic
CASP4,Mostly Cytosolic
CASP6,Mostly Cytosolic
CASP7,Mostly Cytosolic
CASP8,Mostly Cytosolic
CASP8AP2,Mostly Nuclear
CASP9,Mostly Cytosolic
CBFB,Mostly Cytosolic
CBL,Mostly Cytosolic
CBLL1,Mostly Nuclear
CBR3,Mostly Cytosolic
ZNG1B,Mostly Cytosolic
CBX2,Mostly Nuclear
CBX6,Mostly Nuclear
KYAT1,Mostly Cytosolic
SGF29,Mostly Nuclear
CCDC117,Mostly Cytosolic
CCDC71,Mostly Nuclear
CCDC71L,Mostly Nuclear
CCDC82,Mostly Cytosolic
CCDC91,Mostly Cytosolic
CCDC97,Mostly Cytosolic
CCNC,Mostly Nuclear
CCND1,Mostly Cytosolic
CCND3,Mostly Cytosolic
CCNDBP1,Mostly Cytosolic
CCNE2,Mostly Nuclear
CCNL2,Mostly Cytosolic
CCP110,Mostly Cytosolic
CCS,Mostly Cytosolic
CDA,Mostly Cytosolic
CDAN1,Mostly Cytosolic
CDC25B,Mostly Cytosolic
CDC25C,Mostly Cytosolic
CDC34,Mostly Cytosolic
CDC37L1,Mostly Cytosolic
CDC42EP2,Mostly Cytosolic
CDCA2,Mostly Nuclear
CDCA5,Mostly Nuclear
CDCA7,Mostly Nuclear
CDCA7L,Mostly Nuclear
CDK10,Mostly Nuclear
CDK18,Mostly Cytosolic
CDK19,Mostly Nuclear
CDK2AP1,Mostly Nuclear
CDK6,Mostly Cytosolic
CDR2L,Mostly Cytosolic
CDYL,Mostly Nuclear
CDYL2,Mostly Nuclear
CEBPA,Mostly Nuclear
CEBPB,Mostly Nuclear
CEBPD,Mostly Nuclear
CEBPG,Mostly Nuclear
CENPB,Mostly Nuclear
CENPC,Mostly Nuclear
CENPI,Mostly Nuclear
CENPL,Mostly Nuclear
CENPN,Mostly Nuclear
CENPO,Mostly Nuclear
CENPP,Mostly Nuclear
CENPQ,Mostly Nuclear
CENPT,Mostly Nuclear
CENPU,Mostly Nuclear
CENPV,Mostly Nuclear
CENPW,Mostly Nuclear
CEP170B,Mostly Cytosolic
CEP250,Mostly Cytosolic
CEP76,Mostly Cytosolic
CEP97,Mostly Cytosolic
CFAP36,Mostly Cytosolic
CFDP1,Mostly Cytosolic
CHAC1,Mostly Cytosolic
CHAC2,Mostly Cytosolic
CHAMP1,Mostly Nuclear
CHD2,Mostly Nuclear
CHD6,Mostly Nuclear
CHD7,Mostly Nuclear
CHD8,Mostly Nuclear
CHD9,Mostly Nuclear
CHEK2,Mostly Cytosolic
CHKA,Mostly Cytosolic
CHKB,Mostly Cytosolic
CHM,Mostly Cytosolic
CHML,Mostly Cytosolic
CHMP7,Mostly Cytosolic
CHUK,Mostly Cytosolic
CHURC1,Mostly Cytosolic
CIC,Mostly Nuclear
CIR1,Mostly Nuclear
CIZ1,Mostly Nuclear
CLIC3,Mostly Cytosolic
CLINT1,Mostly Cytosolic
CLK1,Mostly Nuclear
CLK2,Mostly Nuclear
CLK4,Mostly Nuclear
CLSPN,Mostly Cytosolic
CMIP,Mostly Cytosolic
CMTR2,Mostly Cytosolic
COG8,Mostly Cytosolic
CERT1,Mostly Cytosolic
COL9A3,Mostly Cytosolic
COMMD1,Mostly Cytosolic
COMMD2,Mostly Cytosolic
COMMD5,Mostly Cytosolic
COMMD6,Mostly Cytosolic
COMMD8,Mostly Cytosolic
COPRS,Mostly Cytosolic
COPS7B,Mostly Cytosolic
CPLX1,Mostly Cytosolic
CPPED1,Mostly Cytosolic
CPSF4,Mostly Nuclear
CPTP,Mostly Cytosolic
CRADD,Mostly Cytosolic
CRBN,Mostly Cytosolic
CRCP,Mostly Cytosolic
CREB1,Mostly Nuclear
CREM,Mostly Nuclear
CRLF3,Mostly Cytosolic
CRTC1,Mostly Cytosolic
CRTC2,Mostly Cytosolic
CRYAB,Mostly Cytosolic
CRYBG3,Mostly Cytosolic
CSAD,Mostly Cytosolic
KAT14,Mostly Nuclear
CTBP1,Mostly Cytosolic
CTCF,Mostly Nuclear
CTDP1,Mostly Cytosolic
CTDSPL2,Mostly Nuclear
CTNNBIP1,Mostly Cytosolic
CTU1,Mostly Cytosolic
CTU2,Mostly Cytosolic
CUEDC1,Mostly Cytosolic
CUEDC2,Mostly Cytosolic
CUL7,Mostly Cytosolic
CUL9,Mostly Cytosolic
CWC15,Mostly Nuclear
BCLAF3,Mostly Nuclear
CXorf38,Mostly Cytosolic
CXXC1,Mostly Nuclear
CXXC5,Mostly Nuclear
CYB5R4,Mostly Cytosolic
ZFTRAF1,Mostly Cytosolic
DALRD3,Mostly Cytosolic
DAZAP2,Mostly Cytosolic
DCAF10,Mostly Cytosolic
DCAF11,Mostly Cytosolic
DCAF15,Mostly Cytosolic
DCAF16,Mostly Cytosolic
DCAF6,Mostly Cytosolic
DCK,Mostly Cytosolic
DCLK2,Mostly Cytosolic
DCPS,Mostly Cytosolic
DCTD,Mostly Cytosolic
DDA1,Mostly Cytosolic
DDB2,Mostly Nuclear
DDHD2,Mostly Cytosolic
DDI2,Mostly Cytosolic
DDIT4,Mostly Cytosolic
DDX51,Mostly Nuclear
RIGI,Mostly Cytosolic
DEAF1,Mostly Nuclear
DEDD,Mostly Nuclear
DENND1A,Mostly Cytosolic
DENND1B,Mostly Cytosolic
DENND5A,Mostly Cytosolic
DESI1,Mostly Cytosolic
DFFA,Mostly Cytosolic
DFFB,Mostly Cytosolic
DGKA,Mostly Cytosolic
DGKH,Mostly Cytosolic
DGKZ,Mostly Cytosolic
DHPS,Mostly Cytosolic
DHRS11,Mostly Cytosolic
DHX32,Mostly Cytosolic
DHX33,Mostly Nuclear
DHX58,Mostly Cytosolic
DIS3L2,Mostly Cytosolic
DLGAP4,Mostly Cytosolic
DLX1,Mostly Nuclear
DLX2,Mostly Nuclear
